Prix,Ville,Annee,Kilometrage,Transmission,Carburant,Marque,Modele,Prix_Log
180000.0,Tanger,2019.0,118000,Automatique,Hybride,Toyota,Corolla,12.100717685412471
129000.0,Rabat,2012.0,200000,Automatique,Diesel,Land Rover,Range Rover Sport,11.767575435251748
135000.0,Casablanca,2021.0,135000,Manuelle,Diesel,Fiat,Doblo,11.813037464800539
155000.0,Casablanca,2021.0,97000,Manuelle,Diesel,Dacia,Dokker,11.951186847493476
273000.0,Casablanca,2018.0,90500,Automatique,Diesel,Volkswagen,Tiguan,12.51723073716405
175000.0,Rabat,2023.0,38000,Automatique,Essence,Citroën,C3,12.07254696717504
295000.0,Casablanca,2016.0,92500,Automatique,Diesel,Jeep,Wrangler,12.59473402514672
265000.0,Tanger,2016.0,182000,Automatique,Diesel,Land Rover,Range Rover Sport,12.487488878546145
205000.0,Casablanca,2018.0,190000,Automatique,Diesel,Volkswagen,Touareg,12.230770136157428
50000.0,Meknès,2014.0,85500,Manuelle,Diesel,Ford,Fiesta,10.819798284210286
345000.0,Casablanca,2025.0,26000,Automatique,Hybride,Hyundai,Tucson,12.75130259456002
145000.0,Safi,2016.0,194000,Manuelle,Diesel,Ford,Focus,11.884495917930655
135000.0,Safi,2010.0,400000,Automatique,Diesel,Volkswagen,Tiguan,11.813037464800539
97000.0,Marrakech,2015.0,171000,Manuelle,Diesel,Hyundai,Accent,11.48247656671073
228000.0,Kénitra,2021.0,142000,Manuelle,Diesel,Nissan,Qashqai,12.337105293891872
260000.0,Casablanca,2019.0,108000,Automatique,Diesel,Mercedes-Benz,Classe A,12.468440756144114
145000.0,Casablanca,2015.0,177500,Manuelle,Diesel,Nissan,Qashqai,11.884495917930655
225000.0,Agadir,2018.0,150000,Automatique,Diesel,Hyundai,Tucson,12.323860125621126
105000.0,Fès,2017.0,138000,Manuelle,Diesel,Peugeot,208,11.561725152903833
112000.0,Agadir,2016.0,299000,Automatique,Diesel,Renault,Koleos,11.626263078808801
98000.0,Casablanca,2016.0,130000,Manuelle,Diesel,Nissan,Note,11.49273296168228
105000.0,Casablanca,2013.0,290000,Automatique,Diesel,Volkswagen,Touareg,11.561725152903833
93000.0,Casablanca,2011.0,180000,Automatique,Essence,Mini,Countryman,11.440365524765756
138000.0,Casablanca,2022.0,130000,Manuelle,Diesel,Peugeot,208,11.835016210489899
105000.0,Casablanca,2011.0,200000,Automatique,Diesel,Land Rover,Range Rover Sport,11.561725152903833
67000.0,Casablanca,2009.0,290000,Manuelle,Diesel,Kia,Cerato,11.112462823634855
105000.0,Casablanca,2011.0,20000,Automatique,Diesel,Land Rover,Range Rover Sport,11.561725152903833
57000.0,Casablanca,2006.0,190000,Manuelle,Essence,BMW,Série 3,10.950824090522445
118000.0,Casablanca,2021.0,290000,Manuelle,Diesel,Renault,Clio,11.678448377988165
198000.0,Marrakech,2019.0,50000,Automatique,Hybride,Toyota,Corolla,12.19602736016897
132000.0,Fès,2017.0,221000,Manuelle,Diesel,Ford,Focus,11.790564777297387
350000.0,Rabat,2018.0,156000,Automatique,Diesel,BMW,X5,12.765691290604371
280000.0,Casablanca,2022.0,57061,Automatique,Diesel,Hyundai,Tucson,12.54254845357358
245000.0,Kénitra,2025.0,10000,Manuelle,Diesel,Peugeot,Rifter,12.409017571151187
210000.0,Casablanca,2020.0,165000,Automatique,Diesel,Citroën,C5 Aircross,12.25486757159303
380000.0,Casablanca,2025.0,8500,Automatique,Diesel,Cupra,Formentor,12.847929163278053
77000.0,Rabat,2013.0,134000,Automatique,Essence,Citroën,C5,11.251573687764477
120000.0,Tétouan,2022.0,85000,Manuelle,Essence,Kia,Picanto,11.695255355062795
206000.0,Rabat,2019.0,118000,Automatique,Diesel,Hyundai,H1,12.235636302128867
20000.0,Casablanca,1988.0,566,Manuelle,Essence,Peugeot,205,9.90353755128617
19800.0,Meknès,1986.0,500000,Manuelle,Essence,Peugeot,205,9.893487720457795
150000.0,Casablanca,2021.0,100000,Automatique,Hybride,Toyota,Yaris,11.918397239722838
129000.0,Rabat,2012.0,288000,Automatique,Diesel,Land Rover,Range Rover Sport,11.767575435251748
250000.0,Rabat,2018.0,93000,Automatique,Diesel,Jaguar,XF,12.429220196836383
15000.0,Agadir,2026.0,1900,Automatique,Essence,MBK,autre,9.61587214452889
395000.0,Casablanca,2023.0,117500,Automatique,Diesel,Audi,A6,12.886643575525625
258000.0,Casablanca,2021.0,156208,Automatique,Diesel,Volkswagen,Touareg,12.460718739865236
230000.0,Casablanca,2017.0,152000,Automatique,Diesel,BMW,Série 4,12.345838935721968
220000.0,Casablanca,2019.0,122700,Automatique,Diesel,Jaguar,E-Pace,12.301387370778713
370000.0,Casablanca,2022.0,88846,Automatique,Diesel,Audi,Q3,12.821260987319457
370000.0,Casablanca,2023.0,91000,Automatique,Diesel,Audi,Q3,12.821260987319457
235000.0,Casablanca,2023.0,49000,Automatique,Diesel,Peugeot,308,12.367345048436391
525000.0,Casablanca,2024.0,3700,Automatique,Diesel,BMW,X2,13.171155446333852
280000.0,Rabat,2020.0,44372,Automatique,Diesel,Peugeot,2008,12.54254845357358
123000.0,Casablanca,2024.0,25846,Manuelle,Essence,Dacia,Logan,11.719947764402807
345000.0,Casablanca,2022.0,120973,Automatique,Diesel,Volvo,S90,12.75130259456002
200000.0,Casablanca,2019.0,86837,Automatique,Diesel,Jeep,Grand Cherokee,12.206077645517674
180000.0,Casablanca,2020.0,118500,Automatique,Diesel,Renault,Megane,12.100717685412471
258000.0,Casablanca,2023.0,65859,Automatique,Diesel,Opel,Astra,12.460718739865236
185000.0,Kénitra,2016.0,150000,Automatique,Diesel,Jaguar,XE,12.128116509451258
186000.0,Casablanca,2025.0,26476,Manuelle,Diesel,Peugeot,208,12.133507329024972
185000.0,Kénitra,2016.0,150000,Automatique,Diesel,Jaguar,XE,12.128116509451258
190000.0,Casablanca,2023.0,30432,Automatique,Essence,Hyundai,Autre,12.154784614286667
315000.0,Casablanca,2024.0,36949,Automatique,Diesel,Hyundai,Tucson,12.660331092405906
115000.0,Errachidia,2021.0,116000,Manuelle,Essence,Skoda,Fabia,11.652696102959753
338000.0,Casablanca,2019.0,150000,Automatique,Diesel,Land Rover,Range Rover Evoque,12.73080413304066
206000.0,Casablanca,2019.0,113963,Automatique,Diesel,Skoda,Superb,12.235636302128867
240000.0,Casablanca,2022.0,42000,Manuelle,Diesel,Opel,Mokka,12.388398368982115
158000.0,Marrakech,2018.0,172000,Automatique,Diesel,DS,5,11.970356641102999
200000.0,Casablanca,2023.0,51000,Manuelle,Diesel,Citroën,C4,12.206077645517674
220000.0,Casablanca,2021.0,101000,Automatique,Diesel,Renault,Koleos,12.301387370778713
75000.0,Rabat,2013.0,140000,Manuelle,Essence,Fiat,500,11.225256725762893
425000.0,Rabat,2021.0,170000,Automatique,Diesel,BMW,Série 5,12.959846800844963
139000.0,Casablanca,2021.0,28000,Manuelle,Essence,Toyota,Yaris,11.842236406331555
70000.0,Casablanca,2003.0,455000,Manuelle,Diesel,Hyundai,H100,11.156264806643742
210000.0,Casablanca,2020.0,32000,Manuelle,Essence,BMW,k 1600 b,12.25486757159303
185000.0,Casablanca,2016.0,182000,Automatique,Diesel,Hyundai,Santa Fe,12.128116509451258
235000.0,Casablanca,2021.0,65000,Automatique,Diesel,Skoda,Superb,12.367345048436391
222000.0,Casablanca,2017.0,176196,Automatique,Diesel,Seat,Ateca,12.310437165348775
338000.0,Casablanca,2025.0,25125,Automatique,Hybride,Toyota,Autre,12.73080413304066
98000.0,Casablanca,2011.0,188233,Manuelle,Diesel,Alfa,Romeo Giulietta,11.49273296168228
420000.0,Marrakech,2023.0,57000,Automatique,Diesel,Volvo,XC60,12.948012371209098
211000.0,Casablanca,2022.0,103327,Manuelle,Diesel,Jeep,Compass,12.259618151783465
210000.0,Kénitra,2015.0,240000,Automatique,Diesel,Volkswagen,Golf 7,12.25486757159303
150000.0,Casablanca,2017.0,138000,Manuelle,Diesel,Renault,Megane,11.918397239722838
150000.0,Casablanca,2017.0,138000,Manuelle,Diesel,Renault,Megane,11.918397239722838
225000.0,Nador,2026.0,7400,Automatique,Électrique,DFSK,E5,12.323860125621126
490000.0,Mohammédia,2019.0,129999,Automatique,Diesel,Land Rover,Range Rover Sport,13.102162710901053
220000.0,Marrakech,2021.0,134482,Automatique,Diesel,Hyundai,Creta,12.301387370778713
325000.0,Marrakech,2024.0,94000,Automatique,Diesel,Volkswagen,T-Roc,12.691583538230217
270000.0,Tétouan,2020.0,110000,Automatique,Diesel,Seat,Ateca,12.506180941677357
345000.0,Tétouan,2024.0,80000,Automatique,Diesel,Seat,Ateca,12.75130259456002
158000.0,Casablanca,2017.0,111734,Automatique,Diesel,Volkswagen,Jetta,11.970356641102999
249000.0,Casablanca,2023.0,101628,Automatique,Diesel,Hyundai,Tucson,12.425212191503038
269000.0,Casablanca,2022.0,72700,Automatique,Diesel,BMW,Série 1,12.502470376049185
112000.0,Agadir,2021.0,97753,Manuelle,Essence,Kia,Picanto,11.626263078808801
480000.0,Casablanca,2023.0,47000,Automatique,Diesel,Jaguar,F-Pace,13.081543466215237
51000.0,Casablanca,2025.0,7500,Manuelle,Essence,Cimatti,big.max,10.839600519357369
220000.0,Rabat,2025.0,4700,Automatique,Essence,Opel,Mokka,12.301387370778713
246000.0,Casablanca,2021.0,120328,Automatique,Diesel,Renault,Kadjar,12.413090879946887
248000.0,Casablanca,2019.0,124716,Automatique,Diesel,Volvo,XC40,12.421188057397055
185000.0,Kénitra,2021.0,70000,Automatique,Essence,Nissan,Juke,12.128116509451258
110000.0,Marrakech,2016.0,146000,Manuelle,Diesel,Ford,Fiesta,11.608244735642321
225000.0,Tanger,2014.0,120000,Automatique,Diesel,BMW,Série 4,12.323860125621126
68000.0,Fès,2009.0,220000,Manuelle,Diesel,Ford,Fusion,11.127277689932466
125000.0,Tanger,2019.0,154000,Manuelle,Diesel,Fiat,Fiorino,11.736077016252437
